,Capacity,Unit,,Note
lighting,3,VA/sqft,ElectricPanelLoadTypeLighting,# multiplier for conditioned floor area to account  for capacity impacts of general lighting
kitchen,3000,VA,ElectricPanelLoadTypeKitchen,# two kitchen small appliance circuits at 1.5 kVA
laundry,1500,VA,ElectricPanelLoadTypeLaundry,# one laundry circuit at 1.5 kVA
ev_level1,1650,VA,ElectricPanelLoadTypeElectricVehicleCharging,# level 1 - 120 V EV charger
ev_level2,7680,VA,ElectricPanelLoadTypeElectricVehicleCharging,# level 2 - 240 V EV charger
wellpump_large,1119,VA,ElectricPanelLoadTypeWellPump,# well pump capacity - 4 or larger bedroom home
wellpump_small,746,VA,ElectricPanelLoadTypeWellPump,# well pump capacity - 3 or fewer bedroom home
poolpump,1491,VA,ElectricPanelLoadTypePoolPump,# 2 HP pool pump capacity
poolheater,27000,VA,ElectricPanelLoadTypePoolHeater,# electric resistance pool heater
poolheater_hp,5100,VA,ElectricPanelLoadTypePoolHeater,# heat pump pool heater
spaheater,4000,VA,ElectricPanelLoadTypePermanentSpaHeater,# hot tub heater
spapump,1491,VA,ElectricPanelLoadTypePermanentSpaPump,# hot tub pump
dryer,5760,VA,ElectricPanelLoadTypeClothesDryer,# electric clothes dryer
dryer_120hp,996,VA,ElectricPanelLoadTypeClothesDryer,# 120V heat pump clothes dryer
dryer_240hp,860,VA,ElectricPanelLoadTypeClothesDryer,# 240V heat pump clothes dryer
dishwasher,1200,VA,ElectricPanelLoadTypeDishwasher,# dishwasher
rangeoven_120,1800,VA,ElectricPanelLoadTypeRangeOven,# 120V range-oven
rangeoven_240,12000,VA,ElectricPanelLoadTypeRangeOven,# 240V range-oven
wh_tankless1,18000,VA,ElectricPanelLoadTypeWaterHeater,# tankless water heater -one bedroom
wh_tankless2,24000,VA,ElectricPanelLoadTypeWaterHeater,# tankless water heater - two bedrooms
wh_tankless3,36000,VA,ElectricPanelLoadTypeWaterHeater,# tankless water heater - three or more bedrooms
mechvent,3000,VA,ElectricPanelLoadTypeMechVent,# using autosized values for ventilation capacity unless unavailable
other,373,VA,ElectricPanelLoadTypeOther,# default other only assumes 1 default garage door opener if a garage is present and does not account for other permanent appliances (e.g. garbage disposal)
wh_auto,,,ElectricPanelLoadTypeWaterHeater,# using autosize values for storage water heating and hpwh
heating_auto,,,ElectricPanelLoadTypeHeating,# using autosize values for capacity of all heating
cooling_auto,,,ElectricPanelLoadTypeCooling,# using autosize values for capacity of all cooling